pk,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6
2788,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,0,0,0,7,7,36,3,0,0,0,0,0,1
2743,0,0,0,0,0,0,0,0,0,0,0,0,0
4144,0,0,0,0,1,0,0,12,7,3,1,0,0
1141,0,0,0,0,0,52,1,0,0,0,0,0,0
4287,0,0,0,0,0,0,0,0,0,0,0,0,0
1855,0,0,20,34,15,15,24,14,12,7,2,6,28
2196,0,0,0,0,0,0,0,0,0,0,0,0,1
2871,0,0,0,0,0,0,94,0,0,0,0,0,0
1375,0,0,0,0,0,21,163,125,31,11,22,43,9
4232,0,0,0,0,0,0,0,0,0,0,0,0,0
1571,0,1,21,0,0,39,0,0,0,14,9,5,1
943,0,0,6,23,4,11,4,23,29,5,27,33,9
1134,0,0,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0,0
3522,0,0,0,0,12,5,3,6,4,22,0,8,21
3600,0,0,0,0,0,0,0,0,0,0,0,0,0
653,3,25,95,37,96,31,40,55,13,2,12,1,3
3457,0,4,26,30,0,1,10,0,3,0,6,2,0
1240,0,0,0,0,0,0,0,0,0,0,0,0,0
634,174,223,228,148,185,169,184,200,136,73,88,86,56
562,0,0,0,0,0,0,0,0,0,0,0,0,0
2074,0,0,0,0,0,2,0,0,1,0,0,0,0
547,0,0,0,0,0,0,28,2,2,0,0,0,2
3501,0,0,0,0,0,0,0,0,0,0,0,0,0
4276,8,9,4,7,1,1,27,0,16,22,16,3,147
256,0,0,0,0,0,0,0,0,0,0,0,0,0
3443,0,0,0,0,0,0,0,0,7,0,0,0,0
516,0,0,0,0,0,0,32,21,0,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0
2119,18,47,13,1,6,3,0,32,2,13,28,13,26
1988,0,0,0,0,0,0,0,0,0,0,0,0,0
1511,778,261,516,513,642,724,698,654,747,732,1025,775,700
4213,2,0,0,0,0,2,0,0,1,0,1,0,17
2427,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,0,0,0,0,2,3,0,0,0,0,0,0,0
403,0,0,0,0,0,0,0,0,0,0,0,0,0
822,54,13,1,0,3,0,0,4,0,2,7,6,22
2316,0,0,0,0,0,0,0,1,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,8,9,0,1
1870,15,10,0,1,22,4,7,3,83,5,3,3,6
3496,0,0,0,0,0,0,19,1,9,4,0,3,0
556,0,0,0,0,0,0,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0,0,1,0
2180,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,0,0,0,0,0,0,0,0,0,0,0,0,0
3150,0,0,0,0,13,2,0,3,0,0,0,0,1
2455,0,0,0,0,115,5,4,0,1,1,1,0,4
