pk,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6
2788,0,0,0,0,0,9,3,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0,0,0,0,0,0
1599,0,0,0,0,0,0,0,0,0,0,1,0,0
1005,0,0,0,0,6,40,16,0,0,0,0,0,0
2743,3,2,6,6,42,32,67,32,35,32,14,29,22
4144,1,0,1,3,1,16,68,27,14,17,1,5,3
1141,0,0,0,0,14,71,7,0,0,0,0,0,0
4287,0,0,0,0,0,0,0,0,0,0,0,0,0
1855,0,0,0,0,0,0,0,0,0,0,0,0,0
2196,287,178,22,41,4,19,38,26,4,0,0,0,0
2871,0,0,0,0,0,46,30,0,0,0,0,0,0
1375,0,0,0,0,0,41,114,62,80,38,47,67,63
4232,0,0,0,0,0,0,2,0,0,0,0,0,0
1571,2,5,75,12,17,51,0,0,24,98,95,60,65
943,0,1,23,8,3,21,1,46,29,17,41,35,5
1134,58,2,0,4,0,0,0,0,0,0,0,0,0
290,0,1,0,1,0,0,0,0,0,0,4,40,16
3522,0,0,0,0,1,0,4,3,0,1,0,0,1
3600,0,0,0,0,0,0,0,0,0,14,0,0,0
653,0,12,5,11,57,12,6,4,0,0,8,27,12
3457,82,55,37,41,0,0,39,0,19,4,14,28,1
1240,0,3,0,0,0,0,0,0,0,0,0,0,0
634,307,406,462,370,429,532,403,467,243,389,864,797,307
562,0,0,0,0,0,0,18,0,0,0,0,0,0
2074,320,321,315,178,183,134,30,21,2,1,0,0,0
547,0,0,0,0,0,0,19,0,0,0,0,2,1
3501,0,0,0,0,0,0,0,8,0,0,0,0,0
4276,1,2,5,18,66,34,80,10,63,44,114,72,346
256,0,1,0,0,0,0,0,0,0,0,0,0,0
3443,14,12,1,0,0,0,4,0,0,0,0,0,0
516,0,28,0,0,0,5,73,8,2,0,0,0,0
1999,0,0,0,0,0,0,0,0,0,0,0,0,0
2119,40,49,29,5,21,8,20,46,67,82,96,66,95
1988,0,0,0,0,0,0,0,0,0,0,0,0,6
1511,28,47,41,34,24,27,5,7,1,24,127,127,114
4213,1200,1097,977,1075,774,630,299,450,277,227,139,113,108
2427,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,78,80,93,25,89,117,100,177,44,41,97,186,131
403,0,2,0,0,0,0,0,0,0,0,0,0,0
822,94,175,174,110,112,88,78,89,24,45,62,86,64
2316,0,9,3,5,2,14,33,32,6,29,0,0,0
212,11,22,22,0,9,8,21,20,21,73,54,3,5
1870,0,0,0,0,0,0,0,0,0,0,0,0,6
3496,0,0,0,0,0,0,10,0,5,1,0,0,0
556,1,0,1,0,1,0,0,0,0,0,0,0,0
413,0,0,0,0,0,0,0,17,10,0,11,0,0
389,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,0,0,0,0,1,6,0,0,0,0,0,0,0
1099,0,0,0,8,3,2,2,3,0,0,0,6,0
3150,0,0,0,101,117,18,2,4,11,1,9,3,17
2455,0,0,0,0,106,11,5,0,2,0,5,1,1
