pk,totoal_funding,github_url,homepage,category,grant_url,first_grant_date,repos
191,164383.45,https://github.com/BrightID,https://www.brightid.org/,dApp Tech,https://gitcoin.co/grants/191/brightid-universal-proof-of-uniqueness-panvala-le,2020/01/06 00:00:00,https://github.com/BrightID/BrightID; https://github.com/BrightID/BrightID-Docs; https://github.com/BrightID/BrightID-Node; https://github.com/BrightID/nest; https://github.com/BrightID/tweetnacl-js; https://github.com/BrightID/BrightID-WebRTC; https://github.com/BrightID/react-native-camera; https://github.com/BrightID/BrightID-SmartContract; https://github.com/BrightID/BrightID-AntiSybil; https://github.com/BrightID/BrightID-Constitution; https://github.com/BrightID/BrightID-BIO-SmartContracts; https://github.com/BrightID/BrightID-BIO-Dashboard; https://github.com/BrightID/Sponsorship-Subscriptions-SmartContracts; https://github.com/BrightID/BrightID-Sponsorship-Subscriptions-Dashboard; https://github.com/BrightID/FS-Backup-Service; https://github.com/BrightID/BrightID-Node-Backup-Script; https://github.com/BrightID/react-native-aes; https://github.com/BrightID/BrightID-Apps-Page; https://github.com/BrightID/TheLAOProposal; https://github.com/BrightID/BrightID-Explorer; https://github.com/BrightID/hyperdrive-backup; https://github.com/BrightID/ipfs-backup
143,164031.52,https://github.com/dappnode,,Infra Tech,https://gitcoin.co/grants/143/dappnode-panvala-league,2019/09/15 00:00:00,https://github.com/dappnode/DNP_ETHCHAIN; https://github.com/dappnode/DNP_IPFS; https://github.com/dappnode/DAppNode; https://github.com/dappnode/DNP_ETHFORWARD; https://github.com/dappnode/DNP_BIND; https://github.com/dappnode/DNP_VPN; https://github.com/dappnode/DNP_DAPPMANAGER; https://github.com/dappnode/DAppNode_Installer; https://github.com/dappnode/DNP_WAMP; https://github.com/dappnode/DAppNodePackageDirectory; https://github.com/dappnode/DNP_ADMIN; https://github.com/dappnode/otp.github.io; https://github.com/dappnode/DAppNodePackage-kovan; https://github.com/dappnode/DAppNode_website; https://github.com/dappnode/Decentralized_portal; https://github.com/dappnode/MultiSigWallet; https://github.com/dappnode/DAppNodePackage-rinkeby; https://github.com/dappnode/DNP_CORE; https://github.com/dappnode/DAppNodePackage-monero; https://github.com/dappnode/DAppNodeSDK; https://github.com/dappnode/DAppNodePackage-bitcoin; https://github.com/dappnode/DAppNodePackage-LightningNetwork; https://github.com/dappnode/dyndns-server; https://github.com/dappnode/dappnode-dweb-template; https://github.com/dappnode/DNP_WIFI; https://github.com/dappnode/dappnode-portal-template; https://github.com/dappnode/DAppNodePackage-goerli-geth; https://github.com/dappnode/DAppNodePackage-goerli-pantheon; https://github.com/dappnode/DAppNodePackage-ropsten; https://github.com/dappnode/DAppNodePackage-grin; https://github.com/dappnode/aragon; https://github.com/dappnode/DAppNodeDocs; https://github.com/dappnode/DAppNodePackage-goerli-parity; https://github.com/dappnode/DAppNodePackage-matrix; https://github.com/dappnode/oasis-direct; https://github.com/dappnode/DAppNodePackage-vipnode; https://github.com/dappnode/dappnode-pioneers; https://github.com/dappnode/DAppNodePackage-raiden; https://github.com/dappnode/DAppnodePackage-raiden-testnet; https://github.com/dappnode/DAppNodePackage-ipfs-pinner; https://github.com/dappnode/DAppNodePackage-swarm; https://github.com/dappnode/welcome; https://github.com/dappnode/dnp-manifest; https://github.com/dappnode/usbmount; https://github.com/dappnode/DAppNodePackage-geth; https://github.com/dappnode/DAppNodePackage-trustlines; https://github.com/dappnode/DAppNodePackage-zcash; https://github.com/dappnode/DAppNodePackage-ipfs-cluster; https://github.com/dappnode/DAppNodePackage-trustlines-validator; https://github.com/dappnode/DAppNodePackage-trustlines-bridge; https://github.com/dappnode/DAppNodePackage-trustlines-monitor; https://github.com/dappnode/DAppNodePackage-trustlines-netstats; https://github.com/dappnode/token-service; https://github.com/dappnode/DAppNodePackage-nethermind; https://github.com/dappnode/DAppNodePackage-storj; https://github.com/dappnode/DAppNodePackage-Tornado-Cash-Relayer; https://github.com/dappnode/DAppNodePackage-ethereum-classic; https://github.com/dappnode/DDDNS; https://github.com/dappnode/DappnodePackage-block-explorer
172,162448.84,https://github.com/zeropoolnetwork,https://github.com/zeropoolnetwork,dApp Tech,https://gitcoin.co/grants/172/zeropool-scaling-anonymous-transactions-for-block,2020/03/23 00:00:00,https://github.com/zeropoolnetwork/circomlib; https://github.com/zeropoolnetwork/eth-boston; https://github.com/zeropoolnetwork/zeropool-core; https://github.com/zeropoolnetwork/zcoinselect; https://github.com/zeropoolnetwork/updatablemerkletree; https://github.com/zeropoolnetwork/website; https://github.com/zeropoolnetwork/zp-chrome-extension; https://github.com/zeropoolnetwork/zp-electron; https://github.com/zeropoolnetwork/MiMCTree; https://github.com/zeropoolnetwork/poseidon-solidity-benchmark; https://github.com/zeropoolnetwork/zp-ui; https://github.com/zeropoolnetwork/zp-pwa; https://github.com/zeropoolnetwork/challenger-bot; https://github.com/zeropoolnetwork/joinsplit_experiment; https://github.com/zeropoolnetwork/fawkes-crypto; https://github.com/zeropoolnetwork/libzeropool; https://github.com/zeropoolnetwork/nearcore; https://github.com/zeropoolnetwork/near-sdk-rs; https://github.com/zeropoolnetwork/near-groth16-verifier; https://github.com/zeropoolnetwork/bn; https://github.com/zeropoolnetwork/NEAR-pool; https://github.com/zeropoolnetwork/zeropool-indexeddb; https://github.com/zeropoolnetwork/phase2-bn254; https://github.com/zeropoolnetwork/ff-uint; https://github.com/zeropoolnetwork/groth16-wasm-benchmark
3133,152102.95,https://github.com/lifinance,,Infra Tech,https://gitcoin.co/grants/3133/lifinance-cross-chain-bridge-aggregator-smart-rou,2021/06/16 00:00:00,https://github.com/lifinance/lifi-web; https://github.com/lifinance/roadmap; https://github.com/lifinance/lifi-analytics-backend; https://github.com/lifinance/nxtp; https://github.com/lifinance/lifi-analytics-dashboard; https://github.com/lifinance/types; https://github.com/lifinance/sdk; https://github.com/lifinance/sdk-node-sample; https://github.com/lifinance/lifi-contract-types
1143,138751.38,https://github.com/floating/frame,,dApp Tech,https://gitcoin.co/grants/1143/frame-privacy-focused-native-ethereum-wallet,2020/09/14 00:00:00,https://github.com/floating/frame
137,130083.6,https://github.com/status-im,https://nimbus.team/,Infra Tech,https://gitcoin.co/grants/137/nimbus,2019/09/15 00:00:00,https://github.com/status-im/trustdavis; https://github.com/status-im/ethereumj-personal; https://github.com/status-im/general-market-framework; https://github.com/status-im/move; https://github.com/status-im/syng-client; https://github.com/status-im/status-react; https://github.com/status-im/status-lib-archived; https://github.com/status-im/status-site-legacy; https://github.com/status-im/go-ethereum; https://github.com/status-im/react-native-status; https://github.com/status-im/status-go; https://github.com/status-im/identicon.js; https://github.com/status-im/wallet; https://github.com/status-im/open-bounty; https://github.com/status-im/devcon2-presentation; https://github.com/status-im/react-native-webview-bridge; https://github.com/status-im/wiki.status.im; https://github.com/status-im/react-native; https://github.com/status-im/instabug-reactnative; https://github.com/status-im/nfc-react-native; https://github.com/status-im/status-dev-cli; https://github.com/status-im/edcon-presentation; https://github.com/status-im/embark-status; https://github.com/status-im/github-oracle; https://github.com/status-im/web3.js; https://github.com/status-im/status-network-token; https://github.com/status-im/status.im; https://github.com/status-im/cn.status.im; https://github.com/status-im/hackathon.status.im; https://github.com/status-im/contribute.status.im; https://github.com/status-im/hackathon; https://github.com/status-im/status.im-old; https://github.com/status-im/doubleratchet; https://github.com/status-im/gone-phishing; https://github.com/status-im/react-native-desktop-qt; https://github.com/status-im/bignumber.js; https://github.com/status-im/mingw-windows10-uwp; https://github.com/status-im/remix-viper; https://github.com/status-im/status-keycard; https://github.com/status-im/function; https://github.com/status-im/jcardsim; https://github.com/status-im/contracts; https://github.com/status-im/swarms; https://github.com/status-im/msgstat; https://github.com/status-im/commiteth-pipeline; https://github.com/status-im/react-native-http-bridge; https://github.com/status-im/react-native-mapbox-gl; https://github.com/status-im/gitpivot; https://github.com/status-im/re-natal; https://github.com/status-im/react-native-emoji-picker; https://github.com/status-im/statusmonitor; https://github.com/status-im/react-native-randombytes; https://github.com/status-im/realm-js; https://github.com/status-im/react-native-config; https://github.com/status-im/status-fiddle; https://github.com/status-im/react-native-i18n; https://github.com/status-im/react-native-linear-gradient; https://github.com/status-im/nimbus-eth1; https://github.com/status-im/nim-eth-trie; https://github.com/status-im/nim-rlp; https://github.com/status-im/nim-keccak-tiny; https://github.com/status-im/nim-secp256k1; https://github.com/status-im/artproject; https://github.com/status-im/status-github-bot; https://github.com/status-im/autobounty; https://github.com/status-im/StandardBounties; https://github.com/status-im/status-im.github.io; https://github.com/status-im/probot-settings; https://github.com/status-im/rn-snoopy; https://github.com/status-im/nim-rocksdb; https://github.com/status-im/nim-evmc; https://github.com/status-im/react-native-fs; https://github.com/status-im/ETHDenver; https://github.com/status-im/nim-ttmath; https://github.com/status-im/nim-eth-keys; https://github.com/status-im/re-frame; https://github.com/status-im/book.status.im; https://github.com/status-im/analytics.status.im; https://github.com/status-im/react-native-camera; https://github.com/status-im/energy-efficient-bok; https://github.com/status-im/status-scale; https://github.com/status-im/nim-ethash; https://github.com/status-im/nim-stint; https://github.com/status-im/status-go-bots; https://github.com/status-im/nim-ranges; https://github.com/status-im/pluto; https://github.com/status-im/status-workspace-directory; https://github.com/status-im/nim-json-rpc; https://github.com/status-im/ETHPrize-interviews; https://github.com/status-im/nim-eth-bloom; https://github.com/status-im/re-frame-10x; https://github.com/status-im/nim-eth-keyfile; https://github.com/status-im/nimbus-launch; https://github.com/status-im/Nim; https://github.com/status-im/nim-docker; https://github.com/status-im/simple-dapp; https://github.com/status-im/secp256k1; https://github.com/status-im/nim-decimal; https://github.com/status-im/embark-area-51; https://github.com/status-im/go-web3js; https://github.com/status-im/nim-eth-p2p; https://github.com/status-im/nim-byteutils; https://github.com/status-im/integer256; https://github.com/status-im/design; https://github.com/status-im/nim-chronicles; https://github.com/status-im/nim-daemon; https://github.com/status-im/legacy-docs; https://github.com/status-im/design.status.im; https://github.com/status-im/status-go-sdk; https://github.com/status-im/simulation; https://github.com/status-im/hardwallet-bootloader; https://github.com/status-im/embark-specs; https://github.com/status-im/clj-rn; https://github.com/status-im/nim-chronos; https://github.com/status-im/ECF; https://github.com/status-im/geth_exporter; https://github.com/status-im/hardwallet-firmware; https://github.com/status-im/infra-role-consul-service; https://github.com/status-im/metro; https://github.com/status-im/p2p-health-bot; https://github.com/status-im/boothealth; https://github.com/status-im/nim-eth-common; https://github.com/status-im/people-ops; https://github.com/status-im/datasets; https://github.com/status-im/design-guides; https://github.com/status-im/clusterviz; https://github.com/status-im/react-native-keychain; https://github.com/status-im/react-native-securerandom; https://github.com/status-im/dappcon-workshop-dapp; https://github.com/status-im/pm; https://github.com/status-im/embark-tutorial-erc721; https://github.com/status-im/ETHReport; https://github.com/status-im/universal-links-handler; https://github.com/status-im/qtkeychain; https://github.com/status-im/rendezvous; https://github.com/status-im/nim-eth-contracts; https://github.com/status-im/whispervis; https://github.com/status-im/snorenotify; https://github.com/status-im/nim-http-utils; https://github.com/status-im/vyper-debug; https://github.com/status-im/go-multiaddr-ethv4; https://github.com/status-im/infra-utils; https://github.com/status-im/athenaeum; https://github.com/status-im/snt-gas-relay; https://github.com/status-im/nimbus-eth2; https://github.com/status-im/react-native-popup-menu; https://github.com/status-im/nim-blscurve; https://github.com/status-im/nimbus-deps; https://github.com/status-im/infra-swarm; https://github.com/status-im/ethberlin-embark; https://github.com/status-im/MyCrypto; https://github.com/status-im/StatusAppFiles; https://github.com/status-im/dreddit-dapp; https://github.com/status-im/google-breakpad; https://github.com/status-im/erc725alliance.github.io; https://github.com/status-im/analytics-dash; https://github.com/status-im/ens-validation; https://github.com/status-im/keycard-installer-android; https://github.com/status-im/react-native-tcp; https://github.com/status-im/react-native-udp; https://github.com/status-im/react-native-image-resizer; https://github.com/status-im/react-native-os; https://github.com/status-im/react-native-testfairy; https://github.com/status-im/issue-report-google-web-form; https://github.com/status-im/status-react-desktop-reports; https://github.com/status-im/react-native-firebase; https://github.com/status-im/ens-usernames; https://github.com/status-im/statusd-bots; https://github.com/status-im/snt-voting; https://github.com/status-im/visual-identity; https://github.com/status-im/migrate; https://github.com/status-im/xgo; https://github.com/status-im/storybook; https://github.com/status-im/CryptoLife; https://github.com/status-im/nim-bncurve; https://github.com/status-im/status-conan; https://github.com/status-im/nimbus-site; https://github.com/status-im/whisper; https://github.com/status-im/tmp; https://github.com/status-im/react-native-qt-context-menu; https://github.com/status-im/hackathon-registration-dapp; https://github.com/status-im/incubate.status.im; https://github.com/status-im/people-ops.status.im; https://github.com/status-im/studio.status.im; https://github.com/status-im/Harbour-MVP; https://github.com/status-im/clicks-counter; https://github.com/status-im/status-global-elements; https://github.com/status-im/status-keycard-desktop; https://github.com/status-im/keycard-go; https://github.com/status-im/embark-dtwitter-workshop; https://github.com/status-im/status-keycard-java; https://github.com/status-im/infra-tf-digital-ocean; https://github.com/status-im/dreddit-devcon; https://github.com/status-im/infra-role-livepeer; https://github.com/status-im/nim-snappy; https://github.com/status-im/status-js-api; https://github.com/status-im/status-x; https://github.com/status-im/infra-tf-google-cloud; https://github.com/status-im/infra-tf-alibaba-cloud; https://github.com/status-im/infra-tf-multi-provider; https://github.com/status-im/whisper-tutorial; https://github.com/status-im/nim-serialization; https://github.com/status-im/nim-json-serialization; https://github.com/status-im/nim-chronicles-tail; https://github.com/status-im/status.im-partials; https://github.com/status-im/infra-les; https://github.com/status-im/EIPs; https://github.com/status-im/burnchart; https://github.com/status-im/the-explainers; https://github.com/status-im/murmur; https://github.com/status-im/eth2.0-specs; https://github.com/status-im/nim-libp2p; https://github.com/status-im/liquidpledging; https://github.com/status-im/whisper-embark-tutorial; https://github.com/status-im/nim-confutils; https://github.com/status-im/react-native-status-keycard; https://github.com/status-im/legacy-wiki; https://github.com/status-im/awesome-secure-messaging; https://github.com/status-im/go-fcm; https://github.com/status-im/infra-role-elasticsearch; https://github.com/status-im/infra-role-elasticsearch-hq; https://github.com/status-im/infra-role-elasticsearch-lb; https://github.com/status-im/hexo-elasticsearch; https://github.com/status-im/github-comment-manager; https://github.com/status-im/eth2-testgen; https://github.com/status-im/ethereumjs-devp2p; https://github.com/status-im/status-teller-network; https://github.com/status-im/status-research; https://github.com/status-im/nim-stew; https://github.com/status-im/nim-faststreams; https://github.com/status-im/research; https://github.com/status-im/nim-web3; https://github.com/status-im/nim-vagrant; https://github.com/status-im/liquid-funding; https://github.com/status-im/status-console-client; https://github.com/status-im/packages-check-bot; https://github.com/status-im/infra-role-tinc; https://github.com/status-im/diff-generator; https://github.com/status-im/react-native-languages; https://github.com/status-im/deps-lock-snitch-bot; https://github.com/status-im/keycard-ledger; https://github.com/status-im/status-channels-dapp; https://github.com/status-im/nim-stratus; https://github.com/status-im/chat; https://github.com/status-im/meritocracy; https://github.com/status-im/nim-eth; https://github.com/status-im/chaos-unicorn-day; https://github.com/status-im/matrix-whisper-bridge; https://github.com/status-im/keycard-site; https://github.com/status-im/infra-role-beacon-node-docker; https://github.com/status-im/nim-eth2-testnet-data; https://github.com/status-im/discover-dapps; https://github.com/status-im/crvc; https://github.com/status-im/figma-diff-probot; https://github.com/status-im/react-navigation-stack; https://github.com/status-im/infra-role-open-bounty; https://github.com/status-im/process-stats; https://github.com/status-im/status-components; https://github.com/status-im/messaging-pm; https://github.com/status-im/keycard-cli; https://github.com/status-im/embark-status-plugin; https://github.com/status-im/network-incentivisation; https://github.com/status-im/infra-nimbus; https://github.com/status-im/infra-role-eth2-testnet-site; https://github.com/status-im/specs; https://github.com/status-im/extensions-fiddle; https://github.com/status-im/topic-democracy; https://github.com/status-im/bigbrother-specs; https://github.com/status-im/react-native-qrcode; https://github.com/status-im/multisig-dapp; https://github.com/status-im/nim-eth2-scenarios; https://github.com/status-im/repos; https://github.com/status-im/stoq-clamav; https://github.com/status-im/gitter-bridge; https://github.com/status-im/subscriptions; https://github.com/status-im/moles; https://github.com/status-im/status-chat-widget; https://github.com/status-im/nim-nat-traversal; https://github.com/status-im/heimdall; https://github.com/status-im/staples; https://github.com/status-im/infra-role-geth; https://github.com/status-im/react-native-mail; https://github.com/status-im/infra-role-geth-exporter; https://github.com/status-im/timbre; https://github.com/status-im/security-improvements; https://github.com/status-im/token-economy-1; https://github.com/status-im/nim-unittest2; https://github.com/status-im/status-keycard-skeletonapp; https://github.com/status-im/liquid-funding-console; https://github.com/status-im/nimbus-libs-site; https://github.com/status-im/translate.status.im; https://github.com/status-im/sticker-market; https://github.com/status-im/tribute-to-talk; https://github.com/status-im/infra-role-s3cmd-upload; https://github.com/status-im/sticker-market-blog; https://github.com/status-im/remote-log; https://github.com/status-im/staking-pool; https://github.com/status-im/react-native-navigation-twopane; https://github.com/status-im/status-go-monitor; https://github.com/status-im/nimplay; https://github.com/status-im/nim-status; https://github.com/status-im/Keycard.swift; https://github.com/status-im/status-protocol-go; https://github.com/status-im/sticker-packs-publisher; https://github.com/status-im/nim-metrics; https://github.com/status-im/Vulkan-Docs; https://github.com/status-im/thundercloud; https://github.com/status-im/secp256k1.swift; https://github.com/status-im/infra-go-vanity; https://github.com/status-im/liquid-funding-subgraph; https://github.com/status-im/infra-role-bitwarden; https://github.com/status-im/nimbus-build-system; https://github.com/status-im/ranking; https://github.com/status-im/status-cli-client; https://github.com/status-im/matterbridge; https://github.com/status-im/subspace-docs; https://github.com/status-im/nim-cookbook; https://github.com/status-im/account-contracts; https://github.com/status-im/S-Pesa; https://github.com/status-im/nim-bearssl; https://github.com/status-im/nim-prompt; https://github.com/status-im/townhall-archive; https://github.com/status-im/status-protocol-go-bandwidth-test; https://github.com/status-im/sourcecred; https://github.com/status-im/team-core; https://github.com/status-im/ambassador.status.im; https://github.com/status-im/react-native-webview; https://github.com/status-im/payment-network-apps; https://github.com/status-im/eth2.0-pm; https://github.com/status-im/wikibooks; https://github.com/status-im/OpenXR-Docs; https://github.com/status-im/keycard-connect; https://github.com/status-im/extkeys; https://github.com/status-im/bip39; https://github.com/status-im/structlog-ui; https://github.com/status-im/tcp-shaker; https://github.com/status-im/markdown; https://github.com/status-im/contract-notifier; https://github.com/status-im/libnatpmp; https://github.com/status-im/status-security; https://github.com/status-im/status-eth-node; https://github.com/status-im/status-network-site; https://github.com/status-im/storage-econ-model; https://github.com/status-im/nim-libbacktrace; https://github.com/status-im/safe-contracts; https://github.com/status-im/lmdb; https://github.com/status-im/keycard-cash-test-dapp; https://github.com/status-im/evmc; https://github.com/status-im/infra-tf-amazon-web-services; https://github.com/status-im/infra-role-oauth-proxy; https://github.com/status-im/infra-role-open-ports; https://github.com/status-im/infra-role-kibana; https://github.com/status-im/infra-role-kibana-logtrail; https://github.com/status-im/js-status-chat-name; https://github.com/status-im/NimYAML; https://github.com/status-im/security-utils; https://github.com/status-im/teller-site; https://github.com/status-im/infra-role-systemd-timer; https://github.com/status-im/libbacktrace; https://github.com/status-im/keycard-redeem; https://github.com/status-im/status-media; https://github.com/status-im/nim-testutils; https://github.com/status-im/nim-kdf; https://github.com/status-im/nim-protobuf-serialization; https://github.com/status-im/infra-role-golang; https://github.com/status-im/infra-role-nginx-metrics; https://github.com/status-im/infra-role-swap-file
1093,120032.73,https://github.com/snapshot-labs,,dGov,https://gitcoin.co/grants/1093/snapshot,2020/09/14 00:00:00,https://github.com/snapshot-labs/snapshot-hub; https://github.com/snapshot-labs/lock; https://github.com/snapshot-labs/snapshot; https://github.com/snapshot-labs/snapshot-docs; https://github.com/snapshot-labs/snapshot.js; https://github.com/snapshot-labs/snapshot-spaces; https://github.com/snapshot-labs/snapshot-subgraph
3857,112437.23,https://github.com/l2beat/l2beat,https://l2beat.com/,Community,https://gitcoin.co/grants/3857/l2beat,2021/12/01 00:00:00,https://github.com/l2beat/l2beat
142,98873.95,https://github.com/NethermindEth/nethermind,https://github.com/NethermindEth/nethermind,Infra Tech,https://gitcoin.co/grants/142/nethermind,2019/09/15 00:00:00,https://github.com/NethermindEth/nethermind
258,95199.84,https://github.com/gobitfly/eth2-beaconchain-explore,https://beaconcha.in,Infra Tech,https://gitcoin.co/grants/258/beaconchain-open-source-eth2-blockchain-explorer,2020/01/06 00:00:00,https://github.com/gobitfly/eth2-beaconchain-explore
