pk,url,username,followers_count,followings_count
2119,https://twitter.com/peepspoolparty,Peeps Pool-Party,1025,936
2180,https://twitter.com/HedgehogProtoc1,HedgehogProtocol,30,3
2196,https://twitter.com/peepspoolparty,Peeps Pool-Party,1025,936
2229,https://twitter.com/DePayFi,DePay,3772,5
2235,https://twitter.com/SimpleFi_,"SimpleFi (�,�)",1353,99
2239,https://twitter.com/InsideTheSim,InsideTheSimulation.eth ���,1521,575
2262,https://twitter.com/gasnow_org,GasNow,4720,1
2265,https://twitter.com/DeFiGeekJapan,DeFiGeek Community JAPAN,522,1
2271,https://twitter.com/kotalco,kotal,344,233
2281,https://twitter.com/vasa_develop,vasa,20738,309
2316,https://twitter.com/OwnershipLabs,Ownership Labs | Building #Dataverse,6479,464
2323,https://twitter.com/darkforest_eth,dark forest,23327,106
2427,https://twitter.com/basenft,Base NFT,46,70
2455,https://twitter.com/InsideTheSim,InsideTheSimulation.eth ���,1521,575
2575,https://twitter.com/DefiLab_xyz,DefiLab,2981,9
2631,https://twitter.com/UniswapPython,uniswap-python,134,5
2743,https://twitter.com/pawnspace,PawnSpace - NFT Collateralized Borrowing/Lending,606,0
2758,https://twitter.com/stakerwatch,stakerwatch,212,164
2788,https://twitter.com/Playsnook_com,Follow us @snook_gg,3,2
2841,https://twitter.com/ZunamiProtocol,Zunami Protocol,5943,30
2851,https://twitter.com/austingriffith,Austin Griffith,45760,5871
2871,https://twitter.com/martriay,Martín Triay ⚡️,5557,667
2916,https://twitter.com/banklessDAO,BanklessDAO �,56903,28
2918,https://twitter.com/MolochMystics,Moloch Mystics,392,8
2979,https://twitter.com/lighthouseweb3,Lighthouse.Storage,990,10
3004,https://twitter.com/austingriffith,Austin Griffith,45764,5871
3012,https://twitter.com/DaggerMonkey,Monkey Dagger,105,5
3059,https://twitter.com/ToucanProtocol,Toucan ✈️ ETH Barcelona,12047,389
3133,https://twitter.com/lifiprotocol,"LI.FI - Powers any cross-chain strategy (�,�)",18419,1440
3150,https://twitter.com/officer_cia,CIA Officer,17749,289
3224,https://twitter.com/wmitsuda,"Willian Mitsuda - wmitsuda.eth (☕,☕)",820,859
3278,https://twitter.com/MatrixETF,MatrixETF,72646,173
3335,https://twitter.com/RubyProtocol,Ruby Protocol ♦️,4542,344
3364,https://twitter.com/blockscoutcom,Blockscout Blockchain Explorer,2090,28
3386,https://twitter.com/catalandaoETH,catalandao.eth,1319,584
3414,https://twitter.com/Dapp_Learning,Dapp-Learning,1336,713
3443,https://twitter.com/BAInetwork,Bitcoin Automatic Investment (BAI),46,112
3457,https://twitter.com/remy_roy,Rémy Roy | remyroy.eth,814,191
3501,https://twitter.com/noctfinance,Nocturnal,155,0
3510,https://twitter.com/polywrap_io,polywrap,1953,70
3522,https://twitter.com/KrebitDAO,Krebit.id,1145,404
3525,https://twitter.com/0xflashnft,bin,1080,50
3595,https://twitter.com/__zkhack__,ZKHack,2212,9
3600,https://twitter.com/0xUnicast,Unicast,57,3
3814,https://twitter.com/rainbowwallpro,RainbowWall.eth,6636,5
3857,https://twitter.com/l2beatcom,Old L2BEAT handle,31,0
3930,https://twitter.com/timrpeterson,Tim Peterson,1901,2606
4019,https://twitter.com/rainbowcitydao,Rainbowcity Foundation,253,40
4144,https://twitter.com/HackathonDao,HackathonDAO,269,12
4165,https://twitter.com/sismo_eth,Sismo �,14611,9
4213,https://twitter.com/blainebublitz,Blaine Bublitz,4030,113
4232,https://twitter.com/zk_mafia,ZK Mafia,40,0
4276,https://twitter.com/aztecnetwork,Aztec,45332,69
4287,https://twitter.com/marrowdao,MarrowDAO | Guild W,4989,192
4352,https://twitter.com/ZigZagExchange,ZigZag Exchange,58382,107
