pk,total_earned,num_round,team_member,len_description,admin_profile_followers,admin_profile_following,admin_position,admin_grants_contributed,stars,commits,issues,comments,tweet_count,count_likes,count_comments,count_retweet
2180,2560.31,4,1,2798,965,963,0,0,0,0,0,0,1,1,0,1
1240,5038.98,5,1,2758,,,0,,0,0,0,0,1,0,0,0
1375,5864.02,3,3,1330,,,0,,2,106,0,142,46,50,39,21
519,16735.72,7,5,789,283,259,0,145,16,57,7,32,0,0,0,0
1005,7358.31,6,1,567,259,261,0,81,22,2,0,1,23,1708,171,320
1999,3751.83,4,1,2768,1166,1175,0,0,0,0,0,0,26,20,11,0
556,2830.03,6,4,1547,,,0,,0,0,0,0,77,720,67,138
1134,5375.74,6,1,3646,,,0,,1,0,0,0,1,1,0,0
294,42631.45,6,1,5412,,,0,,0,26,0,0,58,6024,348,731
1099,2531.01,5,2,2101,,,0,,2,0,0,0,42,3672,211,978
959,10109.87,3,1,1562,,,0,,1,44,0,33,0,0,0,0
389,2647.35,6,1,1391,,,0,,0,0,0,0,10,52,2,4
3278,48420.66,1,1,564,7739,7753,0,0,1,0,0,0,36,3138,1331,1224
3510,22961.22,1,2,2746,,,285,,0,2,3,0,5,49,0,19
3004,19996.24,2,2,743,9970,9946,120,39,11,564,35,93,190,9884,664,1158
142,98873.95,9,5,7468,7276,7262,94,151,4,169,3,221,380,6687,504,1439
2262,20919.01,3,,,,,,,11,0,0,2,36,132,23,34
596,15891.16,3,,,,,,,7,0,0,56,83,2031,155,329
212,3125.49,8,,,,,,,2,51,0,3,27,251,37,93
1093,120032.73,4,,,,,,,73,373,1,486,18,158,16,25
1571,5572.52,3,,,,,,,5,115,11,13,0,0,0,0
1112,11381.72,4,,,,,,,0,36,0,27,56,450,55,68
1415,77510.01,3,,,,,,,92,35,13,198,16,1040,102,262
198,17759.21,7,3,1297,,,58,,20,28,1,20,28,1707,96,307
540,76333.21,5,,,,,,,38,438,7,356,96,825,37,305
1773,36506.59,2,1,2170,5557,5543,344,58,0,39,0,3,23,191,28,23
275,91331.43,6,,,,,,,21,174,4,95,144,2544,318,538
1530,26625.91,2,,,,,,,15,9,0,0,42,896,88,123
86,194468.26,7,3,2105,82472,82327,5,468,60,9,37,298,351,69365,2760,10050
159,12724.77,4,2,626,3173,3117,602,27,64,251,2,197,125,19112,987,2729
822,3177.84,3,,,,,,,5,120,5,22,29,1184,428,391
224,37144.46,4,,,,,,,4,112,0,28,,,,
936,16226.75,2,,,,,,,5,13,1,0,73,8032,85,716
296,10458.4,4,,,,,,,0,0,0,0,148,2363,175,501
943,5559.54,2,2,1597,1108,1083,0,125,53,4,1,6,87,1300,146,238
946,67269.33,1,,,,,,,3,7,0,8,,,,
246,16917.57,3,3,2653,,,394,,14,71,5,4,0,0,0,0
547,4601.95,1,3,976,,,0,,1,14,0,28,46,237,51,65
82,27140.07,1,,,,,,,3,0,0,0,4,57,10,22
