pk,twitter,round_index
2262,https://twitter.com/gasnow_org,9;10;11
2265,https://twitter.com/DeFiGeekJapan,9;10;11;12
2271,https://twitter.com/kotalco,9;10;11;12
2281,https://twitter.com/vasa_develop,9;10;11;12
2316,https://twitter.com/OwnershipLabs,9;10;11;12
2323,https://twitter.com/darkforest_eth,9;10;11;12
2427,https://twitter.com/basenft,10;11;12
2455,https://twitter.com/InsideTheSim,10;11;12
2575,https://twitter.com/DefiLab_xyz,10;11;12
2631,https://twitter.com/UniswapPython,10;11;12
2743,https://twitter.com/pawnspace,10;11;12
2758,https://twitter.com/stakerwatch,10;11;12
2788,https://twitter.com/Playsnook_com,10;11;12
2841,https://twitter.com/ZunamiProtocol,10;11;12
2851,https://twitter.com/austingriffith,10;11;12
2871,https://twitter.com/martriay,10;11;12
2916,https://twitter.com/banklessDAO,10;11;12
2918,https://twitter.com/MolochMystics,10;11;12
2979,https://twitter.com/lighthouseweb3,10;11;12
3004,https://twitter.com/austingriffith,10;11
3012,https://twitter.com/DaggerMonkey,10;11;12
3059,https://twitter.com/ToucanProtocol,10;11;12
3133,https://twitter.com/lifiprotocol,10;11;12
3150,https://twitter.com/officer_cia,11;12
3224,https://twitter.com/wmitsuda,11;12
3278,https://twitter.com/MatrixETF,11
3335,https://twitter.com/RubyProtocol,11;12
3364,https://twitter.com/blockscoutcom,11;12
3386,https://twitter.com/catalandaoETH,11;12
3414,https://twitter.com/Dapp_Learning,11;12
3443,https://twitter.com/BAInetwork,11;12
3457,https://twitter.com/remy_roy,11;12
3496,https://twitter.com/_bridges_inc,11;12
3501,https://twitter.com/noctfinance,11;12
3510,https://twitter.com/polywrap_io,11
3522,https://twitter.com/KrebitDAO,11;12
3525,https://twitter.com/0xflashnft,11;12
3595,https://twitter.com/__zkhack__,11;12
3600,https://twitter.com/0xUnicast,11;12
3814,https://twitter.com/rainbowwallpro,12
3857,https://twitter.com/l2beatcom,12
3930,https://twitter.com/timrpeterson,12
4019,https://twitter.com/rainbowcitydao,12
4144,https://twitter.com/HackathonDao,12
4165,https://twitter.com/sismo_eth,12
4213,https://twitter.com/blainebublitz,12
4232,https://twitter.com/zk_mafia,12
4276,https://twitter.com/aztecnetwork,12
4287,https://twitter.com/marrowdao,12
4352,https://twitter.com/ZigZagExchange,12
